post_id,locations,trip_template,location_count
0,"['丽池公园', '水晶宫', '玫瑰园', '阿尔卡拉门', '西贝莱斯广场', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场', '圣米盖尔市场', '皇家歌剧院', '德波神庙', '西班牙广场', '塞万提斯雕像']",丽池公园|水晶宫|玫瑰园|阿尔卡拉门|西贝莱斯广场|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|马约尔广场|圣米盖尔市场|皇家歌剧院|德波神庙|西班牙广场|塞万提斯雕像,15
1,"['丽池公园', '太阳门广场', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场', '大都会大厦', '提森博物馆', '托莱多', '阿穆德纳圣母主教座堂', '圣弗朗西斯科埃尔格兰德圣殿', '大都会']",丽池公园|太阳门广场|普拉多博物馆|索菲亚王后艺术中心|马约尔广场|大都会大厦|提森博物馆|托莱多|阿穆德纳圣母主教座堂|圣弗朗西斯科埃尔格兰德圣殿|大都会,11
2,"['丽池公园', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '圣米盖尔市场', '西班牙广场', '格兰大道', 'Casa Botin', '托莱多', '熊和树莓雕塑']",丽池公园|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|圣米盖尔市场|西班牙广场|格兰大道|Casa Botin|托莱多|熊和树莓雕塑,11
3,"['丽池公园', '太阳门广场', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场']",丽池公园|太阳门广场|普拉多博物馆|索菲亚王后艺术中心|马约尔广场,5
4,[],,0
5,"['丽池公园', '水晶宫', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '德波神庙']",丽池公园|水晶宫|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|德波神庙,7
6,"['丽池公园', '水晶宫', '玫瑰园', '阿尔卡拉门', '西贝莱斯广场', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '圣米盖尔市场', '皇家歌剧院', '西班牙广场', '格兰大道', '塞万提斯雕像']",丽池公园|水晶宫|玫瑰园|阿尔卡拉门|西贝莱斯广场|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|圣米盖尔市场|皇家歌剧院|西班牙广场|格兰大道|塞万提斯雕像,14
7,"['丽池公园', '索菲亚王后艺术中心']",丽池公园|索菲亚王后艺术中心,2
8,[],,0
9,"['丽池公园', '水晶宫', '阿尔卡拉门', '西贝莱斯广场', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '圣米盖尔市场', '西班牙广场', '格兰大道', '塞万提斯雕像']",丽池公园|水晶宫|阿尔卡拉门|西贝莱斯广场|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|圣米盖尔市场|西班牙广场|格兰大道|塞万提斯雕像,12
10,"['丽池公园', '太阳门广场', '普拉多博物馆', '马约尔广场', '圣米盖尔市场', '德波神庙', '格兰大道', '阿穆德纳圣母主教座堂']",丽池公园|太阳门广场|普拉多博物馆|马约尔广场|圣米盖尔市场|德波神庙|格兰大道|阿穆德纳圣母主教座堂,8
11,"['丽池公园', '水晶宫', '马德里王宫', '普拉多博物馆', '马约尔广场', '格兰大道', '阿穆德纳圣母主教座堂']",丽池公园|水晶宫|马德里王宫|普拉多博物馆|马约尔广场|格兰大道|阿穆德纳圣母主教座堂,7
12,"['普拉多博物馆', '索菲亚王后艺术中心']",普拉多博物馆|索菲亚王后艺术中心,2
13,['托莱多'],托莱多,1
14,['丽池公园'],丽池公园,1
15,"['太阳门广场', '普拉多博物馆', '索菲亚王后艺术中心', '德波神庙', '提森博物馆']",太阳门广场|普拉多博物馆|索菲亚王后艺术中心|德波神庙|提森博物馆,5
16,"['丽池公园', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '圣米盖尔市场', '德波神庙', '提森博物馆', '托莱多']",丽池公园|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|圣米盖尔市场|德波神庙|提森博物馆|托莱多,8
17,"['丽池公园', '水晶宫', '马德里王宫', '圣米盖尔市场', '德波神庙', '西班牙广场']",丽池公园|水晶宫|马德里王宫|圣米盖尔市场|德波神庙|西班牙广场,6
18,"['丽池公园', '水晶宫', '阿尔卡拉门', '西贝莱斯广场', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场', '圣米盖尔市场', '德波神庙', '西班牙广场', '提森博物馆', '格兰大道', '托莱多']",丽池公园|水晶宫|阿尔卡拉门|西贝莱斯广场|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|马约尔广场|圣米盖尔市场|德波神庙|西班牙广场|提森博物馆|格兰大道|托莱多,15
19,"['阿尔卡拉门', '西贝莱斯广场', '太阳门广场', '马约尔广场']",阿尔卡拉门|西贝莱斯广场|太阳门广场|马约尔广场,4
20,"['丽池公园', '水晶宫', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '托莱多']",丽池公园|水晶宫|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|托莱多,7
21,[],,0
22,[],,0
23,"['丽池公园', '玫瑰园', '阿尔卡拉门', '西贝莱斯广场', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '圣米盖尔市场', '德波神庙', '格兰大道', '托莱多']",丽池公园|玫瑰园|阿尔卡拉门|西贝莱斯广场|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|圣米盖尔市场|德波神庙|格兰大道|托莱多,12
24,"['丽池公园', '玫瑰园', '普拉多博物馆']",丽池公园|玫瑰园|普拉多博物馆,3
25,"['丽池公园', '阿尔卡拉门', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '圣米盖尔市场', '德波神庙', '阿穆德纳圣母主教座堂']",丽池公园|阿尔卡拉门|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|圣米盖尔市场|德波神庙|阿穆德纳圣母主教座堂,9
26,['西班牙广场'],西班牙广场,1
27,[],,0
28,"['丽池公园', '水晶宫', '普拉多博物馆', '圣米盖尔市场']",丽池公园|水晶宫|普拉多博物馆|圣米盖尔市场,4
29,['西贝莱斯广场'],西贝莱斯广场,1
30,['索菲亚王后艺术中心'],索菲亚王后艺术中心,1
